len_block_range,avg_consensus_time_s,count,message_size
1,2.776875,8,32
1,3.2991,10,64
1,2.9448,5,128
1,1.811,4,256
2,2.7231363636363635,22,32
2,2.9564000000000004,15,64
2,2.765833333333333,12,128
2,2.3647142857142858,14,256
3,2.983875,32,32
3,2.7866,35,64
3,2.51296875,32,128
3,2.3604615384615384,26,256
4,2.9419799999999996,50,32
4,2.942698113207547,53,64
4,2.520742424242424,66,128
4,2.3695416666666667,48,256
5,2.836359550561798,89,32
5,2.7321460674157305,89,64
5,2.578574074074074,108,128
5,2.4004000000000003,80,256
6,2.828723076923077,130,32
6,2.784579439252336,107,64
6,2.4355478260869567,115,128
6,2.2860855263157895,152,256
7,2.8132164179104477,134,32
7,2.6302499999999998,180,64
7,2.5583164556962026,158,128
7,2.2766822916666665,192,256
8,2.812872611464968,157,32
8,2.664669014084507,142,64
8,2.4665668789808914,157,128
8,2.332457627118644,177,256
9,2.7625555555555557,144,32
9,2.689974193548387,155,64
9,2.48389375,160,128
9,2.3290445859872615,157,256
10,2.8689663865546216,119,32
10,2.69611,100,64
10,2.4926129032258064,124,128
10,2.2909847328244277,131,256
11,2.881820224719101,89,32
11,2.6977954545454548,88,64
11,2.422968085106383,94,128
11,2.396811111111111,90,256
12,3.0875762711864407,59,32
12,2.7948846153846154,78,64
12,2.4758947368421054,57,128
12,2.2519074074074075,54,256
13,2.8123684210526316,38,32
13,2.9602,35,64
13,2.400520833333333,48,128
13,2.245162162162162,37,256
14,2.8860333333333332,30,32
14,2.9937241379310344,29,64
14,2.725757575757576,33,128
14,2.207692307692308,13,256
15,3.305,18,32
15,3.025,17,64
15,2.6990000000000003,10,128
15,2.4076153846153847,13,256
16,3.318625,8,32
16,2.9490000000000003,10,64
16,2.3196666666666665,6,256
17,2.689111111111111,9,32
17,2.962125,8,64
17,2.4115,4,128
17,2.6424285714285713,7,256
18,2.7982222222222224,9,32
18,3.2034285714285713,7,64
18,1.9906666666666668,3,128
18,2.573,2,256
19,2.433333333333333,3,32
19,3.1926,5,64
19,2.865,1,256
20,3.0703333333333336,3,32
20,3.0932500000000003,4,64
21,3.0525,2,128
21,3.241,1,256
22,2.845,1,64
23,4.1345,2,32
23,3.378,1,128
24,2.001,1,32
24,3.459,3,64
24,3.208,1,128
25,3.192,3,32
25,2.985,1,64
25,3.392,1,128
26,3.541,1,32
26,2.1025,2,128
28,3.546,1,128
29,2.877,1,64
31,2.147,1,256
32,3.4189999999999996,2,32
33,3.426,1,128
34,1.775,1,256
36,1.242,1,128
36,1.583,1,256
39,2.445,1,32
42,2.794,1,32
