len_block_range,avg_consensus_time_s,count
1,2.776875,8
2,2.7231363636363635,22
3,2.983875,32
4,2.9419799999999996,50
5,2.836359550561798,89
6,2.828723076923077,130
7,2.8132164179104477,134
8,2.812872611464968,157
9,2.7625555555555557,144
10,2.8689663865546216,119
11,2.881820224719101,89
12,3.0875762711864407,59
13,2.8123684210526316,38
14,2.8860333333333332,30
15,3.305,18
16,3.318625,8
17,2.689111111111111,9
18,2.7982222222222224,9
19,2.433333333333333,3
20,3.0703333333333336,3
23,4.1345,2
24,2.001,1
25,3.192,3
26,3.541,1
32,3.4189999999999996,2
39,2.445,1
42,2.794,1
